time,personal_catch,use_type
1990-01-01T00:00:00Z,23.7385,Non-tribal personal catch
1991-01-01T00:00:00Z,22.825,Non-tribal personal catch
1992-01-01T00:00:00Z,35.8355,Non-tribal personal catch
1993-01-01T00:00:00Z,36.852,Non-tribal personal catch
1994-01-01T00:00:00Z,50.5705,Non-tribal personal catch
1995-01-01T00:00:00Z,47.914,Non-tribal personal catch
1996-01-01T00:00:00Z,45.1755,Non-tribal personal catch
1997-01-01T00:00:00Z,49.4095,Non-tribal personal catch
1998-01-01T00:00:00Z,64.8385,Non-tribal personal catch
1999-01-01T00:00:00Z,39.13,Non-tribal personal catch
2000-01-01T00:00:00Z,345.284,Non-tribal personal catch
2001-01-01T00:00:00Z,353.1575,Non-tribal personal catch
2002-01-01T00:00:00Z,162.561,Non-tribal personal catch
2003-01-01T00:00:00Z,323.516,Non-tribal personal catch
2004-01-01T00:00:00Z,386.8275,Non-tribal personal catch
2005-01-01T00:00:00Z,198.8285,Non-tribal personal catch
2006-01-01T00:00:00Z,138.7935,Non-tribal personal catch
2007-01-01T00:00:00Z,176.918,Non-tribal personal catch
2008-01-01T00:00:00Z,110.0775,Non-tribal personal catch
2009-01-01T00:00:00Z,112.604,Non-tribal personal catch
2010-01-01T00:00:00Z,131.1155,Non-tribal personal catch
2011-01-01T00:00:00Z,153.24261,Non-tribal personal catch
2012-01-01T00:00:00Z,468.6419,Non-tribal personal catch
2013-01-01T00:00:00Z,346.43982,Non-tribal personal catch
2014-01-01T00:00:00Z,246.71782,Non-tribal personal catch
1990-01-01T00:00:00Z,129.3775,Tribal personal catch
1991-01-01T00:00:00Z,116.4245,Tribal personal catch
1992-01-01T00:00:00Z,129.068,Tribal personal catch
1993-01-01T00:00:00Z,59.922,Tribal personal catch
1994-01-01T00:00:00Z,382.9435,Tribal personal catch
1995-01-01T00:00:00Z,311.992,Tribal personal catch
1996-01-01T00:00:00Z,649.792,Tribal personal catch
1997-01-01T00:00:00Z,453.316,Tribal personal catch
1998-01-01T00:00:00Z,759.3435,Tribal personal catch
1999-01-01T00:00:00Z,211.2775,Tribal personal catch
2000-01-01T00:00:00Z,510.833,Tribal personal catch
2001-01-01T00:00:00Z,3312.107,Tribal personal catch
2002-01-01T00:00:00Z,3579.7156,Tribal personal catch
2003-01-01T00:00:00Z,3089.197,Tribal personal catch
2004-01-01T00:00:00Z,1240.252,Tribal personal catch
2005-01-01T00:00:00Z,180.127,Tribal personal catch
2006-01-01T00:00:00Z,171.1475,Tribal personal catch
2007-01-01T00:00:00Z,147.323,Tribal personal catch
2008-01-01T00:00:00Z,170.817,Tribal personal catch
2009-01-01T00:00:00Z,194.8915,Tribal personal catch
2010-01-01T00:00:00Z,108.4095,Tribal personal catch
2011-01-01T00:00:00Z,196.36908,Tribal personal catch
2012-01-01T00:00:00Z,165.98993,Tribal personal catch
2013-01-01T00:00:00Z,401.6573,Tribal personal catch
2014-01-01T00:00:00Z,150.6004,Tribal personal catch
