time,social_vulnerability,location
2000-01-01T00:00:00Z,2.0100043,"Astoria city, Oregon"
2005-01-01T00:00:00Z,1.5132382,"Astoria city, Oregon"
2010-01-01T00:00:00Z,1.2562135,"Astoria city, Oregon"
2015-01-01T00:00:00Z,1.5,"Astoria city, Oregon"
2000-01-01T00:00:00Z,0.55981195,"Bellingham city, Washington"
2005-01-01T00:00:00Z,0.56864065,"Bellingham city, Washington"
2010-01-01T00:00:00Z,0.5143703,"Bellingham city, Washington"
2015-01-01T00:00:00Z,0.77,"Bellingham city, Washington"
2000-01-01T00:00:00Z,-2.7216,"Bodega Bay CDP, California"
2005-01-01T00:00:00Z,-1.0729179,"Bodega Bay CDP, California"
2010-01-01T00:00:00Z,-2.4543087,"Bodega Bay CDP, California"
2015-01-01T00:00:00Z,-2.95,"Bodega Bay CDP, California"
2000-01-01T00:00:00Z,3.6231732,"Coos Bay city, Oregon"
2005-01-01T00:00:00Z,3.7021565,"Coos Bay city, Oregon"
2010-01-01T00:00:00Z,3.3185458,"Coos Bay city, Oregon"
2015-01-01T00:00:00Z,2.92868,"Coos Bay city, Oregon"
2000-01-01T00:00:00Z,10.397976,"Crescent City city, California"
2005-01-01T00:00:00Z,10.395571,"Crescent City city, California"
2010-01-01T00:00:00Z,10.321469,"Crescent City city, California"
2015-01-01T00:00:00Z,7.7,"Crescent City city, California"
2000-01-01T00:00:00Z,-6.2343297,"El Granada CDP, California"
2005-01-01T00:00:00Z,-5.6154017,"El Granada CDP, California"
2010-01-01T00:00:00Z,-5.9276958,"El Granada CDP, California"
2015-01-01T00:00:00Z,-5.81,"El Granada CDP, California"
2000-01-01T00:00:00Z,4.8460264,"Eureka city, California"
2005-01-01T00:00:00Z,2.7169485,"Eureka city, California"
2010-01-01T00:00:00Z,2.2835119,"Eureka city, California"
2015-01-01T00:00:00Z,2.76,"Eureka city, California"
2000-01-01T00:00:00Z,5.218697,"Fort Bragg city, California"
2005-01-01T00:00:00Z,4.805877,"Fort Bragg city, California"
2010-01-01T00:00:00Z,4.4695525,"Fort Bragg city, California"
2015-01-01T00:00:00Z,3.72,"Fort Bragg city, California"
2000-01-01T00:00:00Z,3.5147638,"Garibaldi city, Oregon"
2005-01-01T00:00:00Z,4.692236,"Garibaldi city, Oregon"
2010-01-01T00:00:00Z,5.32995,"Garibaldi city, Oregon"
2015-01-01T00:00:00Z,4.04,"Garibaldi city, Oregon"
2000-01-01T00:00:00Z,-3.3855503,"Half Moon Bay city, California"
2005-01-01T00:00:00Z,-2.0613875,"Half Moon Bay city, California"
2010-01-01T00:00:00Z,-2.1777308,"Half Moon Bay city, California"
2015-01-01T00:00:00Z,-3.55,"Half Moon Bay city, California"
2000-01-01T00:00:00Z,2.857816,"Ilwaco city, Washington"
2005-01-01T00:00:00Z,1.7268227,"Ilwaco city, Washington"
2010-01-01T00:00:00Z,2.8993602,"Ilwaco city, Washington"
2015-01-01T00:00:00Z,3.76,"Ilwaco city, Washington"
2000-01-01T00:00:00Z,4.5175753,"Los Angeles city, California"
2005-01-01T00:00:00Z,3.0694056,"Los Angeles city, California"
2010-01-01T00:00:00Z,2.7931652,"Los Angeles city, California"
2015-01-01T00:00:00Z,2.5,"Los Angeles city, California"
2000-01-01T00:00:00Z,-2.8519094,"Moss Landing CDP, California"
2005-01-01T00:00:00Z,3.0778244,"Moss Landing CDP, California"
2010-01-01T00:00:00Z,3.6265314,"Moss Landing CDP, California"
2015-01-01T00:00:00Z,9.51,"Moss Landing CDP, California"
2000-01-01T00:00:00Z,12.913917,"Neah Bay CDP, Washington"
2005-01-01T00:00:00Z,13.66654,"Neah Bay CDP, Washington"
2010-01-01T00:00:00Z,10.790082,"Neah Bay CDP, Washington"
2015-01-01T00:00:00Z,7.96,"Neah Bay CDP, Washington"
2000-01-01T00:00:00Z,2.5187874,"Newport city, Oregon"
2005-01-01T00:00:00Z,2.4277275,"Newport city, Oregon"
2010-01-01T00:00:00Z,2.4098215,"Newport city, Oregon"
2015-01-01T00:00:00Z,2.83,"Newport city, Oregon"
2000-01-01T00:00:00Z,3.1054668,"Port Hueneme city, California"
2005-01-01T00:00:00Z,2.8136141,"Port Hueneme city, California"
2010-01-01T00:00:00Z,3.2282937,"Port Hueneme city, California"
2015-01-01T00:00:00Z,2.39,"Port Hueneme city, California"
2000-01-01T00:00:00Z,0.6946216,"San Diego city, California"
2005-01-01T00:00:00Z,-0.11576712,"San Diego city, California"
2010-01-01T00:00:00Z,-0.026305638,"San Diego city, California"
2015-01-01T00:00:00Z,-0.34,"San Diego city, California"
2000-01-01T00:00:00Z,-1.2062145,"San Francisco city, California"
2005-01-01T00:00:00Z,-0.74969256,"San Francisco city, California"
2010-01-01T00:00:00Z,-1.0462748,"San Francisco city, California"
2015-01-01T00:00:00Z,-2.51,"San Francisco city, California"
2000-01-01T00:00:00Z,-1.275477,"Santa Barbara city, California"
2005-01-01T00:00:00Z,-0.92174834,"Santa Barbara city, California"
2010-01-01T00:00:00Z,-1.2211057,"Santa Barbara city, California"
2015-01-01T00:00:00Z,-1.66,"Santa Barbara city, California"
2000-01-01T00:00:00Z,6.883712,"Tokeland CDP, Washington"
2005-01-01T00:00:00Z,-2.0098045,"Tokeland CDP, Washington"
2010-01-01T00:00:00Z,0.30518293,"Tokeland CDP, Washington"
2015-01-01T00:00:00Z,8.04,"Tokeland CDP, Washington"
2000-01-01T00:00:00Z,-3.2311277,"Trinidad city, California"
2005-01-01T00:00:00Z,-0.8101726,"Trinidad city, California"
2010-01-01T00:00:00Z,-1.529949,"Trinidad city, California"
2015-01-01T00:00:00Z,-2.8,"Trinidad city, California"
2000-01-01T00:00:00Z,4.8900695,"Westport city, Washington"
2005-01-01T00:00:00Z,7.8287253,"Westport city, Washington"
2010-01-01T00:00:00Z,5.353823,"Westport city, Washington"
2015-01-01T00:00:00Z,5.44,"Westport city, Washington"
2000-01-01T00:00:00Z,5.9118385,"Winchester Bay CDP, Oregon"
2005-01-01T00:00:00Z,1.4968944,"Winchester Bay CDP, Oregon"
2010-01-01T00:00:00Z,4.807585,"Winchester Bay CDP, Oregon"
2015-01-01T00:00:00Z,0.44,"Winchester Bay CDP, Oregon"
2000-01-01T00:00:00Z,1.76565,"McKinleyville CDP, California"
2005-01-01T00:00:00Z,-0.35193,"McKinleyville CDP, California"
2010-01-01T00:00:00Z,-0.20888835,"McKinleyville CDP, California"
2015-01-01T00:00:00Z,0.97,"McKinleyville CDP, California"
2000-01-01T00:00:00Z,-0.8486938,"San Buenaventura (Ventura) city, California"
2005-01-01T00:00:00Z,-0.51592183,"San Buenaventura (Ventura) city, California"
2010-01-01T00:00:00Z,-0.67755216,"San Buenaventura (Ventura) city, California"
2015-01-01T00:00:00Z,-0.45,"San Buenaventura (Ventura) city, California"
