month,month_number,variable,value_character,value_numeric,value_type
January,1,landings,NA,183.91327,numeric
January,1,fish_tickets,NA,248.21675,numeric
February,2,landings,NA,98.65022,numeric
February,2,fish_tickets,NA,175.00494,numeric
March,3,landings,NA,35.101982,numeric
March,3,fish_tickets,NA,122.0625,numeric
April,4,landings,NA,22.592257,numeric
April,4,fish_tickets,NA,95.233505,numeric
May,5,landings,NA,17.442822,numeric
May,5,fish_tickets,NA,70.265625,numeric
June,6,landings,NA,8.999995,numeric
June,6,fish_tickets,NA,45.27551,numeric
July,7,landings,NA,3.075913,numeric
July,7,fish_tickets,NA,12.257576,numeric
August,8,landings,NA,0.4797358,numeric
August,8,fish_tickets,NA,3.5,numeric
Sept,9,landings,NA,0.112793304,numeric
Sept,9,fish_tickets,NA,1.2222222,numeric
October,10,landings,NA,0.49812448,numeric
October,10,fish_tickets,NA,1.6470588,numeric
November,11,landings,NA,145.63759,numeric
November,11,fish_tickets,NA,127.530205,numeric
December,12,landings,NA,356.55026,numeric
December,12,fish_tickets,NA,326.88107,numeric
